text,label
무죄인데 주가는,1
"반도체 업계는 7일(현지 시간) 미국 라스베이거스에서 열리는 정보기술(IT) 가전 전시회 ‘CES 2025’를 주목하고 있다. 
황 CEO는 올해 CES에서 기조연설과 함께 질의응답을 진행할 예정이다. 이 자리에서 블랙웰 양산 진행 상황과 함께 발열 등 결함 개선 여부에 대해 구체적인 답을 내놓을 것이란 전망이 나온다.",2
국장은 진짜 하는거 아닌듯ㄷㄷㄷ,1
오 뚫는다,1
잠시 국장을 들어왔던 내가 바보지...,1
본전 되자마자 팔고 다시는 안사야겠다…,0
오늘은 불장이라했자네~,2
4만전자 빨리 와라..,1
돈복사 버그 터졌습니다 탑승하세욧,2
쉬었다올게요 :),1
"10만  가기전에  답답해서  회사 망하겠다
젠 장",1
회사 후배가 하이닉스 40만 50만 간다고  눈알이 살짝 돌아서 20만 위여도 사야한다고 하자마자 귀신같이 떨어지네... 근데 나도 삼전 10만 간다고 눈알  돌앗는데  삼전도  그럼  나락 가는건가... 나도 인간지표인데,0
지인에 지인이 이쪽업계 종사자라는데 토스부도날수도 잇다고 하는데 관련기사나 자료가 없네요 혹시 아시는분 계실가 해서 글남겨봅니다,1
"경제에 기여한 기업은맞는데
전략기획실 해체되고 컨트럴타워가 맛이갔음
가뜩이나 관료조직인데 전성기는 지났음",1
건희형이 보고 싶구나..,1
ㅋㅋ 다시 원상복귀....,1
내가   아까   500원이라도  먹으려면   매수  하라고  했지,2
얜 뭐니?,1
나가지마세요. 쭉갑니데이,1
3만원대 풀매수 갈게용,2
"할일 없으니깐 봉사쳐하고있네...
일이나 열심히 할것이지",1
양키들이 사고있다!,2
가자,2
아픈손가락이네여,1
도로마무?,1
오를것 같아서 샀어요,1
"어닝서프라이즈 떴는데
2프로를 못뚫네요
미장은 앱장에서 15프로를 올리는데 이정도 시총이면
참 국장 문제긴하네요",2
ㅋㅋ 어제 장마감에 개미 털고 오전에도 털고 올리네,2
그냥 호재 떴는데도 이러면 ㅋㅋㅋ 답이 좀 없는 거 같은데,2
"개인적으로는 5만대라면 1천주정도는
 줍줍할껀데...",0
망할것 헐~~~,1
"점심시간 끝났다..
삼전아..이젠.. 일해야지!!!
움직여라..위로위로~~!!!",0
다시 가즈아,2
크게가자,2
내릴때 사두면 오르지않을까용,1
삼전이 이러면 안되는데..이렇게까지 날 괴롭히네...,1
"코스피 전일비 141프로가  빠지냐
Imf 시즌2냐

이정재 당신은 대체 몇수를 내다 보신겁니까ㅋ",1
국장 안하고 있는사람?,1
국내장 붙들고 스트레스 받지 마시고 해외장으로 갈아타세용 갓애플!!,2
"57100에 2천만원 질렀는데 괜찮겠지
그래도 삼전인데..",1
뺄땐 잣나게 뺌 ㅠ,1
"삼성은 무적임?
그래봐야 ㅋㅋㅋㅋ 엔비 수주도 못 받고 외국애들 다 빠지는데 무지성 삼성삼성
왜빠지는지 알려고도 못 하는데 주식 왜함ㅋㅋㅋㅋㅋㅋㅋ 걍 예금 하던가 채권이나 사세요",0
8만가면 좋겠지만 아직 갈길이 먼듯,1
외국인이 계속 매도하는데도 오늘 왜 오르는거죠?,0
영차 영차,2
나름,1
삼전 파이팅!!!,1
내가 종목명을 말해줬을 때 어른들은 그제야 공포를 느낀다,1
20.000전자간다,2
매번 얘기하지만 개미들이 문제야,1
더더 쭉쭉 올라가즈아,2
"삼전은 한국인으로써 어쩔 수 없이 (?)
하나씩 주워가며 조심스럽게 지켜보려 합니다.",1
"또 뉴스에 겹악재라고ᆢㅠㅠ
글치만 기다리고 내려가면 물타고 끝까지 기다릴거다 나는ᆢ",0
돼지들 좀 끄지라,1
첫 주식 투자인데 어제 넣고 하루만에 6%가 올라서 일단 팔았어용..! 음료 한잔값 벌었네요ㅎㅎ,2
"22년도에 회사 대표님이 삼전은 5년동안 쳐다도 보지 말라고 하셨다. 삼전의 적정가격은 3만, 삼만전자라고 하셨는데 그말이 진짜일까? 그말이 맞다면 27년도에 상승?!",1
이런 상황에 불타기 위험하지 않나요?,1
음 빼자 담에 오리,1
갤럭시 망했나요?,0
외국인들 따라가자!내릴때 사들이자,2
59800원까지만 가겠습니다,1
치킨값 2만원만 벌자,1
저 평단 68500원임 ㅎㅎ 피래미들 조용히하셈,1
오늘도 소액 익절하고 다시 진입할까 합니다.,2
ㅋㅋ 아직도 나스닥 안하는 흑우 없재?,0
커피값 확보,1
그래도 시장 따라가는게 어디야 1월만해도 시장은 다 가는데 얘만 빌빌 거렸자너~~,1
머에요?,1
모르는사람 없지?,1
맞죠..오를 일만 남은거겠죠,1
던져야할가요?,0
"개미님오를때 많이많이 사시옵고
내릴때  많이많이 팔아주세요
내 주식올라가게요
감사해요",2
하씨 결국 4만 보내,1
보유주식 금액 빨간 불 진짜 오랜만이다...,1
외인 다 빠져나가는데 무슨 떨어지는 칼끝을 잡을려고....,1
외인 단타치고 나갔내 ㅋㅋ,1
"1.  환율 너무 높지 않음?
2. 미국주식 너무 올랐는데 고점 아님?
3. 비트코인 그거 사기 아님? 
4. 지금 삼성 많이 떨어졌는데 차라리 삼성이 낫지 않음?


ㅋㅋㅋ하하하",2
"장시간이 끝났는데도 불구하고 
나도모르게 계속 보게되는 너가싫다",1
기관임?,1
덕분에 미장 다 떨어진다 ㅋㅋㅋ,1
뚫느냐못뚫느냐네..,1
"오늘은 날씨처럼 우울한 하루가 되겠네요
매일 오를수는 없지만 어제 오른게 다 수포로 돌아가는 느낌입니다. 
삼전은 코스피의 약 삼십프로 정도를 차지 하고 시총도 400조가 넘는 무거운 주식입니다. 
그만큼 삼성자체의 소식도 주가에 영향을 미치기도 하지만, 시장의 상황에 가장 영향을 많이 받는 종목이기도 합니다. 
미국 은행들 신용등급이 어젯밤 줄줄이 하락하고 cpi 예상치도 전달 보다 소폭 오른 예상치를 보여주고 있습니다. 오늘은 어둡지만 내일은 더 밝은 하루를 기대하며 오늘 

하루를 버텨 보고 성투해봅시다~",0
흠,1
ㅋㅋㅋㅋㅋㅋㅋ,1
개미드라 더 받아먹으라구~~~~,1
HBM 있고 없고가 차이네..  이제 하닉은 훨훨 삼전은 추락 이건가..,0
무슨 국내 최고 기업이라는데가 빌빌대냐,2
얼른 7만 가즈아~,2
출발좀 하자 너때문에 맨날 라면만먹는다,1
국장기준 진수성찬 즐깁니다,1
독하다 독해 이래도 국장을 해!!!,1
내일 68층 갈거같나요??,1
47500에 풀매수 갈길게요~,2
"10 일만 기달려줘 
집팔았다",1
시외 호가창 뭥미 예상채결량 270만주 에 채결가 61100;,1
한국을 제발 살려주세요,0
79에저 정리하길 정말 잘한듯 ㅋㅋ 삼전은 개나소나 다사는 잡주!! 한화에어로 스페이스로 넘어간게 신의 한수!!!,0
이게 팔리네…. 아깝다…,1
매도 먼저 맞는 게 낫다고 어차피 30층 갈 거 빨리 가자 구경하는 맛이 있어여지,1
부정여론 쏙들어가고 믿는다 하는사람 많아졌네 ㅋㅋㅋ,1
이번주 5.7 가겠구만,1
지금이니!,1
"평단 59500이라 손절하고
평단 낮출라고 30개 줏어놨는데
그게 또 마이너스 치고있는중
이것도 재주인듯..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0
큰 손들 비트사려고 패닉셀중..,0
개미의 힘!! 파이팅!!!!,1
그러게 기관들이 어마무시하게 사들이는거보이 뭔가 큰호재가 있는모양ᆢ,2
모레에도 팔꺼야,1
..아으 검색하자마자 나오네,1
시장가 손절때렷다 ㅈㅈ,0
비오네요.,1
와 코인  한순간에 8백내려왓다가  다시  회복중  징하다,1
진짜강추,1
손절치고싶다ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,0
언제쯤 사는게 좋을까요?,1
버거형들 지치면 안돼!! 힘내!!,1
어제외국인들 산다했지만 결과보면 팔았음 너무 토스믿지마세용,1
삼전 내일 외넘들 판다 안판다,0
히히,1
맛있다,1
악재끝났어 이제 오를일만남았다,0
이래 이래 9만 5~7천,1
잘하는짓인지 모르겠다,1
"동전 몇푼에 눈이먼 개관 개ㅅ들
지켜주질않네 걍 구걸을해라
개ㅅ들아~~~",1
추매,0
Thank,1
하 조금있으면7자보겠네ㅋㅋㅋ,1
ㅋㅋ  야 꾹꾹 다져서 오른다,2
"저 오늘 꼭대기에서 샀어요
사자마자 내려서 마이너스...
에휴...",0
2차전지에서 반도체로 흐름이 넘어오나요..,1
무슨 일이야?? 이게,1
"61층 😂
66 이상일때 전액 매수갑니다",2
@[에코프로](A086520) 떨어지니까 얘가 오르네,2
제발ㅠ,1
9월3일부터 융단폭격이네 외인들,1
데모때문에빠졎나보네.에잇,1
"게미들 신나게
매도하네.
좀기다리지....",0
빠지려면 그냥 확 빠져라 더 줍기라도 하게,1
8만원때 무수한 숏기회를 두고 인제와서 숏을 본다고? ㅋㅋ 접어라,2
굿굿,1
매수기회를 또 주시넹,2
근데 삼전은 진짜 안팔고 버티면 기회는 옴. 나도 7만원에 있었는데 제작년에 7만원 와서 익절했눔 1년만에 6만원 익절하긴했늠....,2
힘내라 삼성,1
진입,1
"공포에 매수한다는 애들은 진짜 공포가 뭔지 모른다..

진짜 공포는 숨이 안쉬어진다",2
"Pbr 0.9이하는 안떨어짐
이씨 사람들 대출때문에..",0
시외장 55800,1
ㅋㅋ,1
평단 56900 으로 내려왔네요. 얼릉 올라서 팔고 싶다.,2
가자아아!!,2
어? 오늘은 곡소리 안나넹,0
그냥 삼전뿐 아니라 국장은 힘들다,1
"외인들 기관들 초반에 주가 끌어올리고 

개미들 올라타니까 다 팔고 튀어버림 ㅋㅋㅋ

결국 남은건 개미들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ

진짜 ㄹㅈㄷ다 국장",0
이정도면 뭔가있는게아닐까 외인이 이시간에 벌써 400만주를 던졋네,1
"620ㅡ622 까지 올 줄 알았는대

아쉽내 ㅋㅋ 아직 오후 하락장이 남아 있지만 ㅡㅡ
62 까지 와서 물타기좀 걷어가지 안타깝내",0
이래놓고 나중에 외인은 지금 파는양의 절반만으로도 지금 주식가격까지 끌어 올리니까 손해를 안보겠지 걍 버티거나 추매하는게 답같음,1
와… 이러면 외상거래나 빚내서 투자한사람들은 말그대로 나락인데 ㄷㄷ,0
좀가자!!,2
"이때다 싶어 개나소나 깎아내리는 거 보니..
개장 후 반등도 가능할듯",1
50000원까지 내려가면 눈길 한번 줘야겠다! 안오면 아쉬운거고,1
64일때 삼전 사지도 못한 흑우들 왜케 깝싸노ㅋㅋ,0
실화냐,1
100만 손해 보는중인데 국장 열리면 바로 팔아야하나요 ㅠㅠ,1
좀 내려가물좀타게..,1
오늘 느낌 좋다,1
"외인 과 기관이 제일 싫어하는 부분이
퀄통과일지도 모르겠음
퀄통과시 안 들어갈 수도 없고
퀄통과 직전에 자기 맘대로 좌지우지 하는 게 기관과 외인에게는 이득 인 듯 하네 결국 내생각엔 빨리 삼성에서 정식 입장문이 나와야 남은 기관 외인 물량이 들어와야 구만 이든 십만이든 가지 안을까^^기다려 보자구요",1
"아.. 아까 손 근질할때 팔았어야 했는데..
겨우 참았더니 열나서 온몸이 다 근질하네..ㅡㅡ",1
개관 구매 스타트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
ㅋ,1
역시 오물풍선 그 이상 없는 것을 아는 외인,1
넥스트레이든가 그거랑 겹쳐서 그런지 호가 이상하네,1
주워도 삼전을 줍는게 맞나,1
"노노미 사랑하시죠?

삼전이야기: 삼성은 엔비 바짓가랑이 잡기보단 구글과 협업해야한다 구체적으론 째드가 신라호텔 망고빙수 먹튀 영상을 찍어 올리며 도네를 받으면 호ㅏ재임",1
생각보다  잘 가고있어 다행이네요..^^,1
7프로?,1
삼성은 안망하는데 삼성 거머쥔 나는 망한듯...ㅎㅎ^^,0
닐리야~~니나노~~~♡♡,1
"이런 유미디진 삼전 파니까 쳐오르네 ㅋㅋㅋ
공감대면 개추",2
너무 일찍 샀네,2
평단 65 ㅜ ㅜ 미처버리겠네여.. 더이상 물타기 안해야하나..,1
미장은 인텔 국장은 삼전 ..두개 다가지고있는 나는...헬미~~,1
얼마까지떨어질까요?,0
"이야 기대된다 수요일
얼마나 떨어질까",0
얼른 더 내려온나~~,1
6만 까지 내려와라. 돈 더 넣게ㅋㅋㅋㅋㅋ,1
와따 마  가자,2
인텔 구조 조정한다고 했을 때 하루만에 26% 주가 빠졌으니까 삼성도 평균가 70000~73000원 여기서 25%면 대략 55000~59000원임.. 이 밑으로 내려간다고 해도 2000원 정도 빠지고 반등할것으로 예상함.. 인텔 처럼 조금만 변화해도 삼성은 시총이 높아서 조금의 이슈로 연일 상승할것임,1
폐지 줍는 노인의 심정으로,1
가즈아,2
저점판독기!,0
"hbm 중국에 못 팔아? 
그나마 저급 hbm에서 나는 수익도 없어지겠네?
바로 삼성 외국인 처단 옴 ㅇㅇ

hbm 중국에 못 팔아?
그럼 hbm 수익 남는데가 미국밖에 없잖아?
바로 하닉 외국인 풀매수 땡김 ㅇㅇ",2
"그래도 얘는 조금이라도 올라오네...
최고가라...ㅋ...",2
아직 멀었다 회사보면,1
오늘 외인이 매수네...,2
오늘 점심값,1
78층이라 별 생각이 없습니다 ㅋㅋㅋㅋ,1
조만간 735 뚫을것같은 차트,1
"계약서 도장찍기전엔 아무도 모름
그럼 기자 인터뷰하는데 대놓고
 삼전은 탈락임! 이럴거임?",1
아 삼전 살 때 하이닉스 살걸,1
양전됫다 ㅠㅠ,2
"이거 중독이다.
9시 개장만기다리다 오늘 공휴일이라는거 알았을때의 허무함.전에는 데이장가면 됬는데 그것도 막혀있고 프리장5시까지 모하지?",1
외인이 사야하는데 ㅠ,1
아 욕하고싶다..,1
삼성 최대 리스크가  전자를 하고 잇다는것..ㅠㅠ,1
2월 12일 외국인 600만 매수 이후 최고 기록 ㄷㄷ 이번엔 흐름 타나 아니면 2월처럼 다시 흐르나,2
ㅎ,1
"안녕하세요 완전 완전 주린이입니다!
적금처럼 1년 1개월, 1달에 1주씩 모아봤는데 한번도 팔아본적이 없어서 더 올라도 한번 이런 기분이구나 경험해보려고 매도했습니다!
+아주 오래 보유하고 버티셨던 분들 더 오르시길 기원합니다!",2
미국이 치솟아 올라주는데도 기분이 썩 좋지만은않네,2
"@[한미반도체](A042700) 니가최고다..

후",2
6층에 있는데…. 다행인건 2주만 맛보기로 샀었다는 거….,1
삼전만 패대기 개레전드 역사책에 실려야된다 이새긴 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
이건희회장의 유명한 말이 있죠.. 우리는 기다려주겠으나. 대신 남의 뒷다리는 잡지말아라.,1
"덕분에 통장 텅장 되것다.
뒤에 0하나 더 붙었네...
천대로 내리 앉았다.ㅎㅎ
차 하나 뽑으려 했건만...
8만대 기다리다 차는 못뽑고 폐차만 시킬판...ㅋㅋ",1
"외상거래 조심하세요.
체크 누르면 내가 원화가 남아있어도 증거금으로 먼저 써지면서 아주 복잡해져요.
저번주에 이거땜에 금욜 밤까지 통화 계속 주고 받았네요..
동의 누르고 체크를 안한상태에서 사도 동의를 했기때문에 그렇다고 하는 등.. 죄송하다고는 하지만 곤란해요 ㅠ

결론 : 꼭 쓸거아니면 외상거래 동의도 누르지마십쇼",1
"무조건 옴. 6만 전자도 다시 올 수 있음. 반도체 사이클따라 수요 떨어지면 다시 매출떨어지고 주가 내리고 그게 한 2-3년 주기인데 지금 반도체 호황이기라 오르는데 지금 시기에 잘못 물려서 고점에 물리면 손절치지 않는 이상 2년은 존버해야됨.

10만전자?는 어림없고 내가 봤을때 이번 싸이클 삼전의 최대가격은 많이쳐줘서 9만전자라봄. 그리고 AI가 붐이라 자꾸 돈이 몰리고 주가가 급등하는데 결국에는 차익 실현 매물로 또 떨어지게 되어 있음.

참고로 나도 삼전 주주고 다른 계좌에 삼전 5만원대 700주 들고 있는데 삼전은 장투하는 종목 절대아님 그다지 혁신도 없고 그냥 꾸준하게 반도체 만드는 회사라 주가가 횡보하는거임.

꾸준히 100만원 버는 회사는 주가가 오르지 않음.
10만원을 벌어도 앞으로 20만원, 30만원 벌거 같은 회사들이 주가가 오르지.",1
🤣,1
국민잡주 오르는꼴을 못보네,0
개인들은 500원 1000원만 올라가면 팔고 가네 ㅎㅎ 이럴거면 뭐하러 삼성 사서 단타치냐?,1
들어오네 아..8.3추매할랫는데,0
살려줘,0
맛있어보이는데,1
그만하고 망해라 아으으아으아우유아으,1
S24 출시 불구하고도 개잡주 클라스네 진짴ㅋㅋㅋㅋ국장은 진짜 정병들이 하는곳이다 ㄹㅇ..,0
"대출 받아서 삼전 투자
-100만원 ㅋㅋㅋㅋㅋㅋㅋ
담달부터  이자도 나간다
누굴 탓해 내탓이지 ㅋㅋㅋㅋㅋㅋㅋ
삼전 뭍어놓고 열심히 빚이나 갚으면서 세월이나 기다려야지 ㅋㅋㅋㅋㅋ",2
ㅋㅋ시작됐다 그의 @[레이](A228670)스가,1
점심값,1
넌 그냥 믿음으로 간다,2
판매대기가 더높다니 감동ㅋㅋ,1
머냐,1
5만원가자,2
"개미들 돈 왜이렇게 많어?
외국인 기관 물량 다 받아버리네
굿 👍",1
"아니 내 삼전이 빨간불이라고???
21년에 샀다가 팔지도 않고 숨겨놨는데 ㅠ 눈물나넹",2
악 역시 삼전  나락 가는구나 ... 오를땐  힘겹게 영차!!! 내릴땐  가볍게 영차!!!!,1
이야 결국엔 다시 마이너스를 맛 보는구나,1
음흐,1
팔 때,1
응원합니다,1
삼전 주식 핫딜 중,1
"오늘은 오르겟지 
내일은 오르겟지
다음주는 오르겟지
다다음주는 오르겟지
결국은  ㅅ ㅎ ㄷ
삼전이 일할때
다른 회사는 뭐  잠자나
부자 빼고 없는사람은
깊이생각해야 하네요
뭐 십만전자? 
지금  영어하냐 ?",1
마지막 탈출각,0
매도벽 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
저 처음 왔는데 혹시 언제 시작하나요?,1
좃됫다,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋ,1
단타 개미들  못타게 6만 가자,2
"난 중 ?

?  아니 여기두 저기두
아닌대",1
적어도 75까지는 가지 않을까요,1
오르겠냐고,1
첨받아봣네ㅜ가꼬잇다..,1
"줄먹.. 반년넘게 갖고있었는데 다시 떨어질때마다 후회했었음
5만 중반오면 재진입합니다",0
이거 더 올라갈려나,2
54 좀 뚫자,1
"올라갈때 팔고
내려갈때 사는
막강한 600만
개미군단
외인.기관이
조단위로 공격해도
다막아내는 개미들ㅋ",1
외국인이 파니 개관들도 팔고,0
57층58층 왔다가 50까지갔는데 또 그 패턴인가?,2
지금이니?,1
평단오면 빼고 미장 갈래…,1
"와진짜쏘래기주식이네,,,삼전이왜이꼴라지가됐냐",1
"(악재) 아직도 HBM..
(호재) 새로 설계하면 올라갈수 있다는 소리",2
"풀 매수 기회!
다들 줍줍 하십셔",2
외인과 기관이 쌍끌이로 주가를 끌어내리려는게 보이네요 자사주와 개인매수세로 방어함 내일자로 소폭 상승예감,2
이왕 떨어지는거 추매하게 7.7선까지 떨어져줘,0
줍,1
개쫄보들 진짜,1
"금투세 시행하면 털어먹던 개미들 다 미장갈텐데
뭔 재미로 국장하겠누",1
59뚫었죠??,1
에..?,1
8만원 벽 보소..,1
"개미 단타쟁이들(도박투기꾼)  매도때문 주가가 시원하게 상승 못하네...

개미단타쟁이들 현재 엄청 매도폭탄 때리고 있는중...",1
어제 팔고 재진입할껄ㅠㅠ 삼전은 진짜 울고웃게하네ㅠ,0
5만깨지면 고공낙하아녀,1
외국인이 이 악물고 팔면 기관이고 나발이고 없네,1
젠장...5프로 먹었을때 던졌어야하나...,0
상태나지금껏 봐서 오르기는 하는데 3~4년은 족히걸릴듯,1
아ㅠㅠ,1
지분율 확인 못하나여?,1
제가 손절쳐서 오르네요,2
대호황이다!!!,2
에효 이러다 마감이겟군,1
삼성은 내가 살때마다  폭낙이네 ㅠㅠ,1
연말 말한대로가는군 그람이제 8만 전자는 얼마안남았다 가즈아 고고고,2
외궈놈들 밥먹고 슬슬 오네,1
국민주식이   국민  빛쟁이만드네 ㅋ,1
"여기서 말씀하시는 분들은 주주 아닌분들도 많네요?
주주들은 혈압올라서 쳐다보지도 않는등",2
바닥인 듯 바닥 아닌 바닥 같은 너,0
200주 매도 75만원 손절ㅜㅜ,0
"8프로. 적금 과. 주식투자 어떤게  ...
손실만보고 있는데 ..
어떤게 나을까요?",0
에라 모르겟다 존버,1
아직 고점인건가...,2
와~! 나에게도 빵간 숫자가 생기다니...,1
"팔거면 빨리빨리 팔고 가라
니들 말고도 갈길 먼 애들 아직 많아",0
개미가 타고있어요,1
기관매국노들 승리일까 외인들 승리일까,2
"토스증권 가입하면서 주식 구매해봅니다

이제 한가족이니 잘 부탁드려요~",1
상상전자가 상승하려면?,2
태풍 노루가 온다고 노루페인트 사는 능지가지고 뭘 주식한다고 ㅋㅋㅋㅋ,1
아니 삼성미친거야??,1
어휴 내가 이걸왜샀지...애플을 더살걸...,1
상금은 없어요 ㅎ,1
상한가 칩니다,2
이정도면 다른  종목은 상쳤음,1
"크게 안떨어질거 같은데 ㅇㅅㅇ
하도 쌓인게 많아서 오히려 더 단단해질듯",0
개미가 많이 꼬여 주가가 무거운 듯,1
외인 들어오는대 왜 내리노,1
미안해용...,1
쓰바.. 더 내려갔네,1
"하핫 그래도 올해 200마넌 넘게 팔아서 좋다
솔직히? 진짜 구만오천 십만가서 다 팔아버리고싶었지만
나름 만족한다.. 엄빠는 내가 판줄도 모를거야 낄낄낄
엄마 걱정마 딴거안해 나스닥에 넣어놓을게
삼성이 십만전자갈동안 나스닥은 놀고있겠어?
내가 잘 굴려볼게 내돈이니까",0
어제 나스닥 좋은거 한국버리고간 버거형들이 다시 들어가서 좋아진거겠지? 매력없는 국장,2
내일다시올라가겟지 믿음으로 안판다,1
기가 막히네 삼선이 8퍼오르는걸보네 이대로 유지하면. 역사에남을일..,1
7만원대 가자~,2
너무한다,1
다시 5만전자 가나??,1
집나갓던 외인이 돌아왓구나,2
매일 똑같은 그 맛,1
삼전 팔고 하닉이나 살걸,0
외인 기관 다 팔아도 양전을 만드네,2
뺄때가됐구나,1
.,1
무섭네 매도가 밀려있네,0
"55000원 정도로 시작하면 그때라도 사는 게 좋을까요, 아님 떠난 버스라고 생각하는 게 좋을까요?",1
"계단식
하향^",1
5만원에 알람걸고 갑니다~~,2
"오늘삼성배당금주는날아닌가
그러니외국인이사는거고",2
오늘도 웃으면서 홧팅!!,1
진짜 100원 왔다 갔다 ㅎㅎ.,2
"펑단만 오면 던지고 안쳐다 볼라고 그렇게 몇번을 마음을 먹었구만...
막상 평단이 오니 던지지는 못하네 ㅎ",0
일단 조금정리,1
86산다는거취소,1
응~ 계속 물타면 그만이야~,1
감사해용♡,1
물타면 -1%안쪽인데 돈이 없네,1
내일은 더 싼데 왜 오늘사???,1
10만전자는 🐕꿈,1
"저는 초보인데요 국장은 정말 고수님들이 하시고 미장은 저같은 사람들이 넘쳐나네요 국장도 미장처럼 자본이 모이게하는 방법은 없을까요?
형님들의 의견이 궁금합니다...^^
올라봤자 100원이네요... 1주 주주로서
 들어가기가 무섭네요...",2
왜이래 히바리가 없니 😆,0
재용이 형 내년에 S25 쓰껄~ 하게 나오는 거 맞지? 나 S20FE 아직 쓰는데 어끄제 술 마시고 액정 나갔단 말이야... 띵작 기대할게!,1
"삼전 빼서 이상한데 넣어서 물리지들 말고
록히드마틴 주목",1
또빠개는구나,1
넌 잘못된선택이었어,1
오늘 전일대비 삼전 종가 예상 %은?,1
하...잠깐이지만 그래도 눈물난다 너안죽었구나,1
호재 뉴스 떴다,2
담아!!!,1
호가창 싹비었는데 언제올라감?,2
오후가 기대되는 하루다,1
국장다  망했어요  이러다 본전은커녕 ㅠㅠ기다리고기다려도  희망이없는듯.. 손해가너무큰데 어찌해야될지,1
환율 방어 좀 해라 머하냐..,1
ㄷㄷ. 2걸 개미가?,1
워 외인들이 산다고?????,1
ㅈㄱㄴ,1
6만원대 가자~~~ 물타게~~~ 내가죽나 돈이죽지~~~ ㅎㅎㅎ~~~,2
